employee_id,first_name,middle_name,last_name,gender,aadhaar_number,pan_number,department_id,date_of_joining,date_of_exit,is_active,created_by,created_at
30001,Kismat,Divij,,Male,0338-0065-0934,OGEWK3143P,103,11-11-2024,,TRUE,hr_user,07-05-2025 10:34
30002,Tiya,,Varghese,Male, 11 47045  58742,AHGGV2871M,101,25-06-2022,01-11-2023,FALSE,hr_user,05-06-2023 21:05
30003,Vanya,Ranbir,Wable,Male,7901-5613-1072,PQJZW8002P,105,21-08-2020,15-07-2021,FALSE,admin1,22-08-2022 15:50
30004,Anvi,,,Female,260 7856 95 925,UFZOA0061N,101,04-07-2023,,TRUE,admin1,05-01-2025 05:05
30005,Alisha,,,Male,3110 2272 2675,GZSUA4040Y,103,04-10-2023,,TRUE,hr_user,03-07-2024 18:23
30006,Ivan,Tushar,,Male,9240 4849 0282,VPIII8258F,105,26-08-2024,02-03-2025,FALSE,admin2,29-04-2025 06:41
30007,Lavanya,Shlok,,Male,0322 4658 4362,YQXDL1583E,104,17-08-2022,,TRUE,admin1,25-10-2022 07:21
30008,Aaina,,,Male,174 9806 25 005,KIIMA9720A,104,02-12-2022,07-11-2023,FALSE,hr_user,30-04-2024 08:07
30009,Saksham,,Kalla,Male,4701 9615 3671,KPGJS8000T,105,13-06-2021,18-01-2025,FALSE,admin1,24-11-2022 19:29
30010,Bhamini,Nitara,Sahota,Male,9133-5470-0682,YUFIS0992T,103,31-10-2023,,TRUE,admin1,06-08-2024 23:11
30011,Eshani,Ehsaan,,Male,736 0334 06 590,KTMBE4164K,104,23-07-2024,22-06-2025,FALSE,hr_user,28-04-2025 22:12
30012,Tushar,,,Male, 11 47045  58742,QHAIX9647K,105,25-06-2023,27-10-2024,FALSE,admin2,23-01-2025 18:28
30013,Prisha,Ivana,,Male,3863 0269 2698,HDWXO4184Y,105,14-12-2021,,TRUE,hr_user,16-03-2024 05:48
30014,Zain,,,Male,0230 0092 4330,WOUUQ1292N,105,31-08-2023,,TRUE,hr_user,15-02-2024 03:53
30015,Shamik,,Shetty,Male,1.53E+05,LNCLT8281H,104,06-01-2024,,TRUE,hr_user,14-06-2025 15:06
30016,Riaan,,Bhargava,Male,6486 5420 7326,WVVIR1404J,105,08-01-2024,,TRUE,admin3,14-02-2025 01:29
30017,Stuvan,,Mangat,Male,2144-0123-6955,OZWWR1453L,103,06-11-2021,15-12-2022,FALSE,admin3,20-01-2025 03:40
30018,Rhea,,,Male,  5228 3963 6476  ,QQQTE1204Y,101,28-05-2025,,TRUE,admin2,03-06-2025 06:31
30019,Damini,,,Male,1.61E+06,YHKHH1583D,102,03-01-2023,09-08-2023,FALSE,admin3,15-09-2023 05:47
30020,Samarth,,,Female,  1270 8880 6192  ,CFOIA1972F,101,26-05-2024,22-10-2024,FALSE,admin1,08-06-2025 22:09
30021,Rati,,Dada,Female,7021 4598 7499,LDROU5950I,102,17-03-2023,22-06-2023,FALSE,admin1,23-07-2024 05:59
30022,Ehsaan,,,Female,6995 5109 9386,LVHOQ7739L,102,06-01-2025,15-05-2025,FALSE,admin3,17-04-2025 18:11
30023,Aniruddh,,Solanki,Male,120 5239 92 610,IXVYF3542R,102,25-08-2020,,TRUE,admin1,06-07-2023 08:23
30024,Hiran,,Dugal,Male,8312 8671 1507,YTFQI2850N,101,11-03-2021,,TRUE,hr_user,06-02-2025 16:00
30025,Ishaan,,Bandi,Female,2.20E+11,BRJDP6732E,101,10-05-2022,08-11-2022,FALSE,hr_user,27-09-2024 13:09
